year,make,number
2005,CITROEN,313
2005,DAIHATSU,178
2005,F.M.C.,10
2005,FIAT,350
2005,FORD,20
2005,HINO,22
2005,HYSTER,26
2005,HYUNDAI,35
2005,ISUZU,1016
2005,KIA,807
2005,KOMATSU,128
2005,LAND ROVER,20
2005,LINDE,12
2005,MERCEDES BENZ,134
2005,MITSUBISHI,2740
2005,NISSAN,3485
2005,OPEL,520
2005,OTHERS,56
2005,PEUGEOT,277
2005,PIAGGIO,11
2005,PROTON,24
2005,RENAULT,902
2005,SCANIA,56
2005,SSANGYONG,214
2005,SUZUKI,172
2005,T.C.M.,28
2005,TLD,17
2005,TOYOTA,3041
2005,VOLKSWAGEN,139
2005,VOLVO,9
2006,BOBCAT,14
2006,CHANGJIANG,13
2006,CITROEN,154
2006,DAIHATSU,79
2006,FIAT,592
2006,FORD,130
2006,HINO,38
2006,HYUNDAI,27
2006,ISUZU,1506
2006,KIA,422
2006,KOMATSU,103
2006,LAND ROVER,31
2006,LINDE,13
2006,MERCEDES BENZ,192
2006,MITSUBISHI,4436
2006,NISSAN,2377
2006,OPEL,633
2006,OTHERS,111
2006,PEUGEOT,295
2006,PIAGGIO,13
2006,PROTON,11
2006,RENAULT,631
2006,SCANIA,79
2006,SSANGYONG,155
2006,T.C.M.,35
2006,TOYOTA,2172
2006,VOLKSWAGEN,68
2006,XUGONG,37
2007,CITROEN,709
2007,DAIHATSU,172
2007,DONGFENG,21
2007,FIAT,1238
2007,FORD,34
2007,GOLDEN DRAGON,20
2007,HAFEI,99
2007,HINO,304
2007,HONDA,13
2007,ISUZU,1436
2007,JUNGHEINRICH,15
2007,KOMATSU,143
2007,MAN,11
2007,MERCEDES BENZ,156
2007,MITSUBISHI,1361
2007,NISSAN,601
2007,OPEL,688
2007,OTHERS,86
2007,PEUGEOT,324
2007,RENAULT,745
2007,SCANIA,53
2007,SUZUKI,488
2007,T.C.M.,52
2007,TOYOTA,2816
2007,VOLKSWAGEN,87
2007,XUGONG,10
2008,CITROEN,186
2008,DAIHATSU,15
2008,FIAT,537
2008,FORD,33
2008,GOLDEN DRAGON,14
2008,HAFEI,29
2008,HINO,271
2008,HONDA,22
2008,HYUNDAI,55
2008,ISUZU,1014
2008,KIA,136
2008,KOMATSU,153
2008,LAND ROVER,25
2008,LINDE,10
2008,MAN,43
2008,MERCEDES BENZ,91
2008,MITSUBISHI,2129
2008,NISSAN,1435
2008,OPEL,482
2008,OTHERS,107
2008,PEUGEOT,118
2008,RENAULT,263
2008,SCANIA,93
2008,SSANGYONG,141
2008,STK,79
2008,SUZUKI,240
2008,T.C.M.,34
2008,TLD,27
2008,TOYOTA,1675
2008,VOLKSWAGEN,120
2008,WULING,29
2008,XUGONG,10
2009,CATERPILLAR,15
2009,CITROEN,144
2009,DONGFENG,14
2009,DULEVO,12
2009,FIAT,427
2009,HAFEI,40
2009,HINO,122
2009,HONDA,19
2009,HYUNDAI,33
2009,ISUZU,542
2009,KIA,107
2009,KOMATSU,53
2009,LAND ROVER,19
2009,LIEBHERR,10
2009,MAN,31
2009,MERCEDES BENZ,57
2009,MITSUBISHI,1306
2009,NISSAN,956
2009,OPEL,78
2009,OTHERS,100
2009,PEUGEOT,32
2009,RENAULT,174
2009,SCANIA,81
2009,SSANGYONG,46
2009,SUZUKI,74
2009,T.C.M.,24
2009,TENNANT,23
2009,TOYOTA,1465
2009,VOLKSWAGEN,84
2009,WULING,25
2009,XUGONG,29
2010,CATERPILLAR,7
2010,CITROEN,102
2010,DEMAG,7
2010,FIAT,192
2010,HC,17
2010,HINO,137
2010,HYUNDAI,26
2010,ISUZU,502
2010,KALMAR,11
2010,KIA,45
2010,KOMATSU,70
2010,LAND ROVER,9
2010,LIEBHERR,6
2010,MAN,52
2010,MERCEDES BENZ,67
2010,MITSUBISHI,847
2010,NISSAN,1054
2010,OPEL,76
2010,OTHERS,46
2010,PEUGEOT,58
2010,RENAULT,73
2010,SCANIA,82
2010,SCHOPF,6
2010,SSANGYONG,17
2010,SUZUKI,8
2010,T.C.M.,21
2010,TADANO FAUN,5
2010,TAILIFT,19
2010,TEREX,7
2010,TLD,7
2010,TOYOTA,1073
2010,VOLKSWAGEN,36
2010,WIRTGEN,5
2010,XUGONG,8
2010,YALE,16
2011,CATERPILLAR,7
2011,CITROEN,89
2011,FIAT,196
2011,HC,12
2011,HECHA,9
2011,HINO,152
2011,HYUNDAI,78
2011,ISUZU,657
2011,IVECO,16
2011,KALMAR,8
2011,KIA,60
2011,KOMATSU,84
2011,LAND ROVER,13
2011,LIEBHERR,5
2011,MADVAC,8
2011,MAN,83
2011,MERCEDES BENZ,67
2011,MITSUBISHI,1013
2011,NISSAN,1634
2011,OPEL,14
2011,OTHERS,70
2011,PEUGEOT,7
2011,RENAULT,106
2011,SCANIA,185
2011,SSANGYONG,63
2011,T.C.M.,26
2011,TENNANT,7
2011,TEREX,6
2011,TLD,16
2011,TOYOTA,1292
2011,VOLKSWAGEN,93
2011,VOLVO,10
2011,YALE,8
2012,BOBCAT,7
2012,CATERPILLAR,6
2012,CHERY,12
2012,CITROEN,38
2012,D.A.F.,24
2012,DEMAG,5
2012,FIAT,128
2012,FOTON,6
2012,GALLOP,11
2012,HINO,150
2012,HYUNDAI,42
2012,ISUZU,595
2012,IVECO,23
2012,JINBEI,9
2012,KIA,22
2012,KOMATSU,61
2012,LAND ROVER,9
2012,LIEBHERR,12
2012,LINDE,5
2012,MAN,149
2012,MERCEDES BENZ,107
2012,MITSUBISHI,832
2012,NISSAN,887
2012,OPEL,14
2012,OSHKOSH,5
2012,OTHERS,48
2012,PEUGEOT,19
2012,RENAULT,28
2012,SCANIA,207
