year,category,type,Cars and Station-wagons number,C,west,national,east,central,south,north
2017,Cars and Station-wagons,Private cars,502187,502187,17.20498614958449,19.628808864265928,13.434903047091412,13.490304709141274,11.002770083102494,15.376731301939058
2017,Cars and Station-wagons,Company cars,24196,24196,17.20498614958449,19.628808864265928,13.434903047091412,13.490304709141274,11.002770083102494,15.376731301939058
2017,Cars and Station-wagons,Tuition cars,843,843,17.20498614958449,19.628808864265928,13.434903047091412,13.490304709141274,11.002770083102494,15.376731301939058
2017,Cars and Station-wagons,Private Hire (Self-Drive) cars,21180,21180,17.20498614958449,19.628808864265928,13.434903047091412,13.490304709141274,11.002770083102494,15.376731301939058
2017,Cars and Station-wagons,Private Hire (Chauffeur) cars,46903,46903,17.20498614958449,19.628808864265928,13.434903047091412,13.490304709141274,11.002770083102494,15.376731301939058
2017,Cars and Station-wagons,Off peak cars,16947,16947,17.20498614958449,19.628808864265928,13.434903047091412,13.490304709141274,11.002770083102494,15.376731301939058
2018,Cars and Station-wagons,Private cars,509302,509302,14.723287671232876,17.684931506849313,11.254794520547945,13.646575342465754,12.345205479452055,14.191780821917808
2018,Cars and Station-wagons,Company cars,24817,24817,14.723287671232876,17.684931506849313,11.254794520547945,13.646575342465754,12.345205479452055,14.191780821917808
2018,Cars and Station-wagons,Tuition cars,825,825,14.723287671232876,17.684931506849313,11.254794520547945,13.646575342465754,12.345205479452055,14.191780821917808
2018,Cars and Station-wagons,Private Hire (Self-Drive) cars,21138,21138,14.723287671232876,17.684931506849313,11.254794520547945,13.646575342465754,12.345205479452055,14.191780821917808
2018,Cars and Station-wagons,Private Hire (Chauffeur) cars,45342,45342,14.723287671232876,17.684931506849313,11.254794520547945,13.646575342465754,12.345205479452055,14.191780821917808
2018,Cars and Station-wagons,Off peak cars,14028,14028,14.723287671232876,17.684931506849313,11.254794520547945,13.646575342465754,12.345205479452055,14.191780821917808
2019,Cars and Station-wagons,Private cars,515036,515036,9.175,14.628571428571428,10.196428571428571,13.571428571428571,10.57857142857143,11.285714285714286
2019,Cars and Station-wagons,Company cars,24610,24610,9.175,14.628571428571428,10.196428571428571,13.571428571428571,10.57857142857143,11.285714285714286
2019,Cars and Station-wagons,Tuition cars,832,832,9.175,14.628571428571428,10.196428571428571,13.571428571428571,10.57857142857143,11.285714285714286
2019,Cars and Station-wagons,Private Hire (Self-Drive) cars,21566,21566,9.175,14.628571428571428,10.196428571428571,13.571428571428571,10.57857142857143,11.285714285714286
2019,Cars and Station-wagons,Private Hire (Chauffeur) cars,55575,55575,9.175,14.628571428571428,10.196428571428571,13.571428571428571,10.57857142857143,11.285714285714286
2019,Cars and Station-wagons,Off peak cars,12977,12977,9.175,14.628571428571428,10.196428571428571,13.571428571428571,10.57857142857143,11.285714285714286
2020,Cars and Station-wagons,Private cars,519132,519132,9.11049723756906,14.966850828729282,10.621546961325967,13.273480662983426,11.850828729281767,12.488950276243093
2020,Cars and Station-wagons,Company cars,30966,30966,9.11049723756906,14.966850828729282,10.621546961325967,13.273480662983426,11.850828729281767,12.488950276243093
2020,Cars and Station-wagons,Tuition cars,769,769,9.11049723756906,14.966850828729282,10.621546961325967,13.273480662983426,11.850828729281767,12.488950276243093
2020,Cars and Station-wagons,Private Hire (Self-Drive) cars,21351,21351,9.11049723756906,14.966850828729282,10.621546961325967,13.273480662983426,11.850828729281767,12.488950276243093
2020,Cars and Station-wagons,Private Hire (Chauffeur) cars,49796,49796,9.11049723756906,14.966850828729282,10.621546961325967,13.273480662983426,11.850828729281767,12.488950276243093
2020,Cars and Station-wagons,Off peak cars,12028,12028,9.11049723756906,14.966850828729282,10.621546961325967,13.273480662983426,11.850828729281767,12.488950276243093
2021,Cars and Station-wagons,Private cars,532204,532204,10.529411764705882,16.41456582633053,11.473389355742297,14.509803921568627,11.761904761904763,14.095238095238095
2021,Cars and Station-wagons,Company cars,33114,33114,10.529411764705882,16.41456582633053,11.473389355742297,14.509803921568627,11.761904761904763,14.095238095238095
2021,Cars and Station-wagons,Tuition cars,809,809,10.529411764705882,16.41456582633053,11.473389355742297,14.509803921568627,11.761904761904763,14.095238095238095
2021,Cars and Station-wagons,Private Hire (Self-Drive) cars,23147,23147,10.529411764705882,16.41456582633053,11.473389355742297,14.509803921568627,11.761904761904763,14.095238095238095
2021,Cars and Station-wagons,Private Hire (Chauffeur) cars,44843,44843,10.529411764705882,16.41456582633053,11.473389355742297,14.509803921568627,11.761904761904763,14.095238095238095
