index,o3_sub_index,no2_one_hour_max,o3_eight_hour_max,psi_twenty_four_hourly,pm10_twenty_four_hourly,pm10_sub_index,pm25_twenty_four_hourly,so2_sub_index,pm25_sub_index,so2_twenty_four_hourly,co_eight_hour_max,co_sub_index,date
0,"{'west': 8, 'east': 6, 'central': 10, 'south': 8, 'north': 11}","{'west': 16, 'east': 10, 'central': 10, 'south': 10, 'north': 12}","{'west': 19, 'east': 15, 'central': 24, 'south': 18, 'north': 27}","{'west': 29, 'east': 36, 'central': 51, 'south': 32, 'north': 23}","{'west': 20, 'east': 18, 'central': 25, 'south': 20, 'north': 17}","{'west': 20, 'east': 18, 'central': 25, 'south': 20, 'north': 17}","{'west': 7, 'east': 9, 'central': 12, 'south': 8, 'north': 6}","{'west': 1, 'east': 1, 'central': 2, 'south': 1, 'north': 1}","{'west': 29, 'east': 36, 'central': 51, 'south': 32, 'north': 23}","{'west': 2, 'east': 2, 'central': 2, 'south': 2, 'north': 1}","{'west': 0, 'east': 0, 'central': 1, 'south': 0, 'north': 1}","{'west': 5, 'east': 4, 'central': 5, 'south': 4, 'north': 7}",2024-02-01
1,"{'west': 2, 'east': 5, 'central': 6, 'south': 4, 'north': 10}","{'west': 33, 'east': 11, 'central': 12, 'south': 12, 'north': 4}","{'west': 6, 'east': 11, 'central': 13, 'south': 9, 'north': 24}","{'west': 41, 'east': 56, 'central': 52, 'south': 51, 'north': 31}","{'west': 27, 'east': 29, 'central': 28, 'south': 26, 'north': 24}","{'west': 27, 'east': 29, 'central': 28, 'south': 26, 'north': 24}","{'west': 10, 'east': 16, 'central': 13, 'south': 12, 'north': 7}","{'west': 1, 'east': 1, 'central': 3, 'south': 1, 'north': 1}","{'west': 41, 'east': 56, 'central': 52, 'south': 51, 'north': 31}","{'west': 2, 'east': 2, 'central': 5, 'south': 2, 'north': 1}","{'west': 1, 'east': 0, 'central': 1, 'south': 1, 'north': 1}","{'west': 6, 'east': 4, 'central': 6, 'south': 5, 'north': 8}",2024-02-02
2,"{'west': 6, 'east': 6, 'central': 8, 'south': 6, 'north': 9}","{'west': 33, 'east': 11, 'central': 14, 'south': 13, 'north': 7}","{'west': 14, 'east': 13, 'central': 19, 'south': 13, 'north': 21}","{'west': 45, 'east': 52, 'central': 51, 'south': 43, 'north': 29}","{'west': 25, 'east': 26, 'central': 28, 'south': 23, 'north': 21}","{'west': 25, 'east': 26, 'central': 28, 'south': 23, 'north': 21}","{'west': 11, 'east': 13, 'central': 12, 'south': 10, 'north': 7}","{'west': 2, 'east': 1, 'central': 1, 'south': 1, 'north': 1}","{'west': 45, 'east': 52, 'central': 51, 'south': 43, 'north': 29}","{'west': 3, 'east': 2, 'central': 2, 'south': 2, 'north': 1}","{'west': 1, 'east': 0, 'central': 1, 'south': 1, 'north': 1}","{'west': 5, 'east': 4, 'central': 6, 'south': 5, 'north': 8}",2024-02-03
3,"{'west': 13, 'east': 9, 'central': 16, 'south': 14, 'north': 14}","{'west': 7, 'east': 9, 'central': 21, 'south': 11, 'north': 4}","{'west': 31, 'east': 22, 'central': 38, 'south': 32, 'north': 33}","{'west': 51, 'east': 58, 'central': 52, 'south': 49, 'north': 32}","{'west': 29, 'east': 30, 'central': 26, 'south': 25, 'north': 22}","{'west': 29, 'east': 30, 'central': 26, 'south': 25, 'north': 22}","{'west': 12, 'east': 18, 'central': 13, 'south': 12, 'north': 8}","{'west': 2, 'east': 1, 'central': 2, 'south': 2, 'north': 1}","{'west': 51, 'east': 58, 'central': 52, 'south': 49, 'north': 32}","{'west': 3, 'east': 2, 'central': 3, 'south': 3, 'north': 2}","{'west': 1, 'east': 0, 'central': 1, 'south': 1, 'north': 1}","{'west': 5, 'east': 4, 'central': 6, 'south': 6, 'north': 8}",2024-02-04
4,"{'west': 10, 'east': 6, 'central': 8, 'south': 8, 'north': 12}","{'west': 17, 'east': 11, 'central': 14, 'south': 10, 'north': 9}","{'west': 23, 'east': 14, 'central': 18, 'south': 19, 'north': 29}","{'west': 43, 'east': 52, 'central': 43, 'south': 39, 'north': 27}","{'west': 23, 'east': 21, 'central': 24, 'south': 21, 'north': 24}","{'west': 23, 'east': 21, 'central': 24, 'south': 21, 'north': 24}","{'west': 10, 'east': 13, 'central': 10, 'south': 9, 'north': 6}","{'west': 1, 'east': 1, 'central': 2, 'south': 2, 'north': 2}","{'west': 43, 'east': 52, 'central': 43, 'south': 39, 'north': 27}","{'west': 2, 'east': 1, 'central': 2, 'south': 3, 'north': 3}","{'west': 0, 'east': 0, 'central': 0, 'south': 0, 'north': 1}","{'west': 5, 'east': 4, 'central': 5, 'south': 3, 'north': 7}",2024-02-05
5,"{'west': 14, 'east': 3, 'central': 8, 'south': 10, 'north': 10}","{'west': 32, 'east': 12, 'central': 31, 'south': 11, 'north': 7}","{'west': 34, 'east': 6, 'central': 19, 'south': 24, 'north': 24}","{'west': 45, 'east': 54, 'central': 52, 'south': 41, 'north': 30}","{'west': 27, 'east': 25, 'central': 28, 'south': 21, 'north': 20}","{'west': 27, 'east': 25, 'central': 28, 'south': 21, 'north': 20}","{'west': 11, 'east': 15, 'central': 13, 'south': 10, 'north': 7}","{'west': 2, 'east': 1, 'central': 1, 'south': 2, 'north': 2}","{'west': 45, 'east': 54, 'central': 52, 'south': 41, 'north': 30}","{'west': 3, 'east': 2, 'central': 2, 'south': 3, 'north': 4}","{'west': 1, 'east': 0, 'central': 1, 'south': 0, 'north': 1}","{'west': 5, 'east': 4, 'central': 6, 'south': 3, 'north': 7}",2024-02-06
6,"{'west': 5, 'east': 4, 'central': 7, 'south': 7, 'north': 10}","{'west': 35, 'east': 10, 'central': 23, 'south': 11, 'north': 7}","{'west': 12, 'east': 11, 'central': 16, 'south': 16, 'north': 23}","{'west': 36, 'east': 41, 'central': 40, 'south': 33, 'north': 23}","{'west': 22, 'east': 18, 'central': 20, 'south': 17, 'north': 15}","{'west': 22, 'east': 18, 'central': 20, 'south': 17, 'north': 15}","{'west': 9, 'east': 10, 'central': 10, 'south': 8, 'north': 6}","{'west': 2, 'east': 1, 'central': 1, 'south': 2, 'north': 2}","{'west': 36, 'east': 41, 'central': 40, 'south': 33, 'north': 23}","{'west': 4, 'east': 1, 'central': 2, 'south': 3, 'north': 4}","{'west': 0, 'east': 0, 'central': 1, 'south': 0, 'north': 1}","{'west': 5, 'east': 3, 'central': 6, 'south': 3, 'north': 7}",2024-02-07
7,"{'west': 9, 'east': 3, 'central': 6, 'south': 5, 'north': 9}","{'west': 21, 'east': 10, 'central': 20, 'south': 10, 'north': 4}","{'west': 22, 'east': 8, 'central': 14, 'south': 11, 'north': 22}","{'west': 31, 'east': 42, 'central': 35, 'south': 43, 'north': 23}","{'west': 20, 'east': 18, 'central': 24, 'south': 25, 'north': 16}","{'west': 20, 'east': 18, 'central': 24, 'south': 25, 'north': 16}","{'west': 7, 'east': 10, 'central': 8, 'south': 10, 'north': 6}","{'west': 3, 'east': 1, 'central': 1, 'south': 2, 'north': 2}","{'west': 31, 'east': 42, 'central': 35, 'south': 43, 'north': 23}","{'west': 4, 'east': 2, 'central': 2, 'south': 3, 'north': 4}","{'west': 0, 'east': 0, 'central': 1, 'south': 0, 'north': 0}","{'west': 5, 'east': 3, 'central': 6, 'south': 3, 'north': 4}",2024-02-08
8,"{'west': 7, 'east': 3, 'central': 6, 'south': 7, 'north': 10}","{'west': 9, 'east': 7, 'central': 8, 'south': 10, 'north': 3}","{'west': 16, 'east': 7, 'central': 15, 'south': 16, 'north': 23}","{'west': 41, 'east': 54, 'central': 52, 'south': 43, 'north': 29}","{'west': 35, 'east': 22, 'central': 26, 'south': 25, 'north': 23}","{'west': 35, 'east': 22, 'central': 26, 'south': 25, 'north': 23}","{'west': 10, 'east': 14, 'central': 13, 'south': 10, 'north': 7}","{'west': 2, 'east': 1, 'central': 1, 'south': 2, 'north': 2}","{'west': 41, 'east': 54, 'central': 52, 'south': 43, 'north': 29}","{'west': 4, 'east': 1, 'central': 2, 'south': 3, 'north': 3}","{'west': 0, 'east': 0, 'central': 0, 'south': 0, 'north': 0}","{'west': 5, 'east': 3, 'central': 3, 'south': 3, 'north': 5}",2024-02-09
9,"{'west': 10, 'east': 7, 'central': 11, 'south': 9, 'north': 13}","{'west': 7, 'east': 10, 'central': 14, 'south': 8, 'north': 6}","{'west': 23, 'east': 16, 'central': 27, 'south': 21, 'north': 32}","{'west': 52, 'east': 53, 'central': 55, 'south': 43, 'north': 55}","{'west': 27, 'east': 22, 'central': 27, 'south': 21, 'north': 58}","{'west': 27, 'east': 22, 'central': 27, 'south': 21, 'north': 55}","{'west': 13, 'east': 14, 'central': 15, 'south': 10, 'north': 8}","{'west': 2, 'east': 1, 'central': 1, 'south': 2, 'north': 2}","{'west': 52, 'east': 53, 'central': 55, 'south': 43, 'north': 35}","{'west': 4, 'east': 1, 'central': 2, 'south': 3, 'north': 4}","{'west': 0, 'east': 0, 'central': 0, 'south': 0, 'north': 0}","{'west': 4, 'east': 2, 'central': 3, 'south': 3, 'north': 4}",2024-02-10
