,o3_sub_index,no2_one_hour_max,o3_eight_hour_max,psi_twenty_four_hourly,pm10_twenty_four_hourly,pm10_sub_index,pm25_twenty_four_hourly,so2_sub_index,pm25_sub_index,so2_twenty_four_hourly,co_eight_hour_max,co_sub_index,date
0,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-01
1,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-02
2,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-03
3,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-04
4,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-05
5,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-06
6,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-07
7,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-08
8,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-09
9,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-10
